place,x,y,type,type2,subject,subject2,latitude,longitude
Cardiff_Queen_Street_railway_station,318830,176532,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,,51.4818957590341,-3.170294047566786
Castle_Quarter,318500,176326,dbo:PopulatedPlace,dbo:Settlement,,dbc:Economy_of_Cardiff,51.47999637909173,-3.1749975919234994
Cathays_railway_station,318218,177343,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,,51.48909802286611,-3.1792933709291322
Cefn_Onn_Halt_railway_station,317952,184155,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Cardiff,,51.550295984325665,-3.1847119854551473
Creigiau_railway_station,308306,181529,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Cardiff,,51.5252037823887,-3.323106446135801
Danescourt_railway_station,314448,178674,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,,51.50050430630374,-3.2339023385942607
Aberaman_railway_station,301592,201357,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.70229665486169,-3.425427403822819
Abercwmboi_Halt_railway_station,303360,199732,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.68799799125526,-3.399400878770938
Abercynon_North_railway_station,308230,194880,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.64520251139834,-3.3276960788630694
Abercynon_railway_station,308278,194857,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Rhondda_Cynon_Taf,,51.64500360967587,-3.3269965255286666
Aberdare_Low_Level_railway_station,300507,202558,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.71290006484256,-3.441465916019015
Aberdare_railway_station,300474,202737,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Rhondda_Cynon_Taf,,51.71450310700419,-3.441994580130761
Abernant_railway_station,301448,203485,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.72139854663781,-3.428112954954706
Beddau_Halt_railway_station,306653,184051,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.54760268854052,-3.3475959498988033
Church_Village,308500,186498,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,,51.56990161640405,-3.3216047881000486
Church_Village_Halt_railway_station,308648,185850,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.564100790218056,-3.319301319744433
Cilfynydd,308722,192624,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,,51.62500381092568,-3.319998514826432
Clydach_Vale,298210,193025,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,dbc:Coal_mining_disasters_in_Wales,51.62680274985331,-3.471920329059581
Coed-Ely,301880,186188,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,,51.56600065886262,-3.4170045807222107
Coed_Ely_railway_station,301052,186749,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.57089839436078,-3.4291045800208844
Cross_Inn_railway_station,305547,183148,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,,51.53930148989173,-3.363298614229776
Cwmbach_railway_station,302351,201209,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Rhondda_Cynon_Taf,,51.70109910889523,-3.4144063076788793
Dinas_Rhondda_railway_station,300600,191931,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Rhondda_Cynon_Taf,,51.61739714986748,-3.4370939240137743
Efail_Isaf_railway_station,308849,185045,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Cardiff,,51.556897214053215,-3.3161933994859267
Athletic_Ground_Aberdare,300787,202530,dbo:Stadium,,dbc:Football_League_venues,,51.71269803994742,-3.437406580083449
Cefn_Eglwysilan,309709,190503,dbo:Mountain,dbo:NaturalPlace,dbc:Mountains_and_hills_of_Caerphilly_County_Borough,dbc:Mountains_and_hills_of_Rhondda_Cynon_Taf,51.60609768555762,-3.3051971551183006
Lluest-wen_Reservoir,294718,201797,dbo:Lake,dbo:NaturalPlace,dbc:Reservoirs_in_Rhondda_Cynon_Taf,,51.70500248055954,-3.524994921831924
Mynydd_William_Meyrick,294923,194082,dbo:Mountain,dbo:NaturalPlace,dbc:Mountains_and_hills_of_Caerphilly_County_Borough,dbc:Mountains_and_hills_of_Rhondda_Cynon_Taf,51.63569830085259,-3.5197062847650615
Sardis_Road,306731,190034,dbo:Stadium,,dbc:Stadiums_in_Wales,,51.60139595001719,-3.348061940479128
Aber_Bargoed_railway_station,315168,200410,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,,51.696003318717764,-3.228795778247149
Aber_railway_station,314867,186943,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,,51.574900463776935,-3.229869980361556
Abercarn_railway_station,321432,195224,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,,51.65029723630155,-3.137016475407494
Abertridwr_railway_station,312040,189194,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,,51.59470038118549,-3.271217882673686
Abertysswg_railway_station,313166,205405,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,,51.740596603993964,-3.259001087731661
Argoed_railway_station,317730,200234,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,,51.69480310485166,-3.191694549487275
Bargoed_railway_station,315086,200055,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,,51.69279977610784,-3.229895376427396
Brithdir_railway_station,315242,201944,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,,51.709803766691664,-3.228098770221944
Bute_Town,310401,209170,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Caerphilly_county_borough,,51.77400344145433,-3.300006894148524
Caerphilly_railway_station,315642,186552,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,,51.571502306257386,-3.218595392568154
Crosskeys_railway_station,322151,191932,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,,51.62080391911939,-3.125893010543301
Darran_and_Deri_railway_station,312833,201751,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,,51.707699290984095,-3.2629067917778887
Aberbargoed_Hospital,315579,200136,dbo:Hospital,,dbc:Defunct_hospitals_in_Wales,,51.69360235192523,-3.222784265384058
Caerphilly_Castle,315532,187065,dbo:Castle,dbo:ArchitecturalStructure,dbc:Castles_in_Caerphilly_county_borough,,51.57609732934728,-3.220305714546773
Ruperra_Castle,321981,186317,dbr:Castle,,dbc:Castles_in_Caerphilly_county_borough,,51.57030389530403,-3.1270975955593285
Allt-yr-yn,329434,188398,dbo:PopulatedPlace,dbo:Settlement,"dbc:Wards_of_Newport,_Wales",,51.58999550777512,-3.019999612091811
Bassaleg_Junction_railway_station,328170,187193,dbo:ArchitecturalStructure,dbo:Station,"dbc:Disused_railway_stations_in_Newport,_Wales",,51.579002744621405,-3.0379950241284734
Caerleon_railway_station,333724,191021,dbo:ArchitecturalStructure,dbo:Station,"dbc:Disused_railway_stations_in_Newport,_Wales",,51.614098257278314,-2.958580615721309
Celtic_Manor_Resort,335514,189774,dbo:Hotel,,dbc:Hotels_in_Wales,,51.603095863507285,-2.932502674519509
Kingsway_Shopping_Centre,331326,187916,dbo:ShoppingMall,,"dbc:Shopping_in_Newport,_Wales",,51.58589651671575,-2.992599029975412
Aberthaw_High_Level_railway_station,303480,166499,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,,51.38929576529379,-3.3885420154209673
Aberthaw_Low_Level_railway_station,303456,166467,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,,51.389004030172885,-3.388878115025139
Aberthaw_power_stations,302340,166299,dbo:ArchitecturalStructure,dbo:PowerStation,dbc:Coal-fired_power_stations_in_Wales,,51.38730270515327,-3.404865387378357
Aberthin_Platform_railway_station,300472,175535,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,,51.46999797381975,-3.4342994926374444
Alberta_Place_Halt_railway_station,318368,169877,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,,51.42200311450828,-3.175407824543908
Atlantic_College_Lifeboat_Station,293492,168045,yago:LifeboatStationsInWales,,dbc:Lifeboat_stations_in_Wales,,51.401403165110786,-3.5324981291786637
Barry_Dock_Lifeboat_Station,312315,166762,yago:LifeboatStationsInWales,,dbc:Lifeboat_stations_in_Wales,,51.39309576767003,-3.261668073209444
Barry_Docks_railway_station,312345,167797,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,,51.402404479232445,-3.2614929871982192
Barry_Island_railway_station,311484,166699,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,,51.39240023517815,-3.2735929919157964
Barry_Power_Station,314636,168392,dbo:ArchitecturalStructure,dbo:PowerStation,Natural_gas-fired_power_stations_in_Wales,,51.40810314469012,-3.2287098253335547
Barry_railway_station,310720,167202,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,,51.396802031072156,-3.284697389019922
Cogan_railway_station,317459,172572,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,,51.44609833189513,-3.1891069430621215
Cowbridge_railway_station,299972,174477,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,,51.460399694532306,-3.441195849463348
Dinas_Powys_railway_station,315368,170971,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,,51.43139706261796,-3.2188047401312283
Dingle_Road_railway_station,318074,171884,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,,51.440002886152506,-3.180100005992431
Eastbrook_railway_station,316263,171680,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,,51.43790382361526,-3.2061013052123517
Bastion_Road,312119,168868,dbo:Venue,yago:StadiumsInWales,dbc:Football_venues_in_Wales,,51.41199712385342,-3.2650067680413906
Copthorne_Hotel_Cardiff,311756,174681,dbo:Hotel,,dbc:Hotels_in_Cardiff,,51.464195730146635,-3.2716756106879754
Dyffryn_Gardens,309609,172216,dbo:Park,,dbc:Parks_in_the_Vale_of_Glamorgan,,51.44169805926485,-3.3019428258826067
Llantwit_Major_Roman_Villa,295870,169976,dbo:ArchitecturalStructure,yago:ArchaeologicalSitesInTheValeOfGlamorgan,Roman_villas_in_Wales,dbc:Archaeological_sites_in_the_Vale_of_Glamorgan,51.41920200929978,-3.498893453964623
