place,x,y,type,type2,subject,subject2
Aberdare_railway_station,300474,202737,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Rhondda_Cynon_Taf,
Abernant_railway_station,301448,203485,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,
Beddau_Halt_railway_station,306653,184051,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,
Church_Village,308500,186498,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,
Church_Village_Halt_railway_station,308648,185850,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,
Cilfynydd,308722,192624,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,
Clydach_Vale,298210,193025,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,dbc:Coal_mining_disasters_in_Wales
Coed-Ely,301880,186188,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Rhondda_Cynon_Taf,
Coed_Ely_railway_station,301052,186749,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,
Cross_Inn_railway_station,305547,183148,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Rhondda_Cynon_Taf,
Cwmbach_railway_station,302351,201209,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Rhondda_Cynon_Taf,
Dinas_Rhondda_railway_station,300600,191931,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Rhondda_Cynon_Taf,
Efail_Isaf_railway_station,308849,185045,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Cardiff,
Athletic_Ground_Aberdare,300787,202530,dbo:Stadium,,dbc:Football_League_venues,
Cefn_Eglwysilan,309709,190503,dbo:Mountain,dbo:NaturalPlace,dbc:Mountains_and_hills_of_Caerphilly_County_Borough,dbc:Mountains_and_hills_of_Rhondda_Cynon_Taf
Lluest-wen_Reservoir,294718,201797,dbo:Lake,dbo:NaturalPlace,dbc:Reservoirs_in_Rhondda_Cynon_Taf,
Mynydd_William_Meyrick,294923,194082,dbo:Mountain,dbo:NaturalPlace,dbc:Mountains_and_hills_of_Caerphilly_County_Borough,dbc:Mountains_and_hills_of_Rhondda_Cynon_Taf
Sardis_Road,306731,190034,dbo:Stadium,,dbc:Stadiums_in_Wales,
Aber_Bargoed_railway_station,315168,200410,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,
